sequence_id,timestamp_ms,ax_lateral,ay_longitudinal,az_vertical,peak_delta_z,label
SEQ-0006,550,-0.027,0.185,9.782,1.02,Smooth_Road
SEQ-0006,600,0.508,-0.214,9.881,1.02,Smooth_Road
SEQ-0006,650,-0.39,-0.037,9.518,1.02,Smooth_Road
SEQ-0006,700,0.143,-0.256,9.416,1.02,Smooth_Road
SEQ-0006,750,0.216,0.047,9.938,1.02,Smooth_Road
SEQ-0006,800,0.093,0.11,9.297,1.02,Smooth_Road
SEQ-0006,850,-0.107,0.126,10.086,1.02,Smooth_Road
SEQ-0006,900,0.169,0.2,9.615,1.02,Smooth_Road
SEQ-0006,950,-0.407,-0.261,8.854,1.02,Smooth_Road
SEQ-0007,0,0.088,-0.207,9.562,1.12,Smooth_Road
SEQ-0007,50,-0.26,0.2,10.321,1.12,Smooth_Road
SEQ-0007,100,0.472,-0.201,10.216,1.12,Smooth_Road
SEQ-0007,150,0.37,-0.467,9.502,1.12,Smooth_Road
SEQ-0007,200,0.191,-0.012,9.974,1.12,Smooth_Road
SEQ-0007,250,0.311,-0.099,10.552,1.12,Smooth_Road
SEQ-0007,300,0.276,0.127,9.869,1.12,Smooth_Road
SEQ-0007,350,0.357,0.028,9.469,1.12,Smooth_Road
SEQ-0007,400,0.001,-0.059,9.498,1.12,Smooth_Road
SEQ-0007,450,-0.139,-0.032,10.113,1.12,Smooth_Road
SEQ-0007,500,-0.163,-0.012,9.965,1.12,Smooth_Road
SEQ-0007,550,-0.325,-0.12,10.198,1.12,Smooth_Road
SEQ-0007,600,0.051,-0.007,9.565,1.12,Smooth_Road
SEQ-0007,650,-0.143,-0.216,9.785,1.12,Smooth_Road
SEQ-0007,700,0.186,0.237,9.422,1.12,Smooth_Road
SEQ-0007,750,-0.115,0.488,9.856,1.12,Smooth_Road
SEQ-0007,800,-0.099,0.012,10.529,1.12,Smooth_Road
SEQ-0007,850,-0.189,-0.034,9.718,1.12,Smooth_Road
SEQ-0007,900,0.118,0.539,9.794,1.12,Smooth_Road
SEQ-0007,950,-0.161,0.082,9.919,1.12,Smooth_Road
SEQ-0008,0,-0.083,0.16,10.089,5.98,Pothole_Shock
SEQ-0008,50,0.173,0.352,10.045,5.98,Pothole_Shock
SEQ-0008,100,0.293,0.106,9.827,5.98,Pothole_Shock
SEQ-0008,150,0.202,0.05,10.096,5.98,Pothole_Shock
SEQ-0008,200,0.044,-0.288,9.613,5.98,Pothole_Shock
SEQ-0008,250,0.197,-0.071,10.02,5.98,Pothole_Shock
SEQ-0008,300,-0.149,0.205,9.996,5.98,Pothole_Shock
SEQ-0008,350,-0.036,-0.223,9.281,5.98,Pothole_Shock
SEQ-0008,400,0.059,-0.095,9.197,5.98,Pothole_Shock
SEQ-0008,450,0.286,-0.202,9.829,5.98,Pothole_Shock
SEQ-0008,500,-0.266,-0.038,9.801,5.98,Pothole_Shock
SEQ-0008,550,1.966,1.77,15.79,5.98,Pothole_Shock
SEQ-0008,600,0.027,-0.152,9.91,5.98,Pothole_Shock
SEQ-0008,650,0.075,-0.167,9.355,5.98,Pothole_Shock
SEQ-0008,700,-0.395,-0.106,10.017,5.98,Pothole_Shock
SEQ-0008,750,0.198,0.089,10.08,5.98,Pothole_Shock
SEQ-0008,800,0.124,-0.017,10.138,5.98,Pothole_Shock
SEQ-0008,850,-0.183,0.072,8.961,5.98,Pothole_Shock
SEQ-0008,900,-0.104,0.07,9.856,5.98,Pothole_Shock
SEQ-0008,950,0.281,0.062,10.044,5.98,Pothole_Shock
SEQ-0009,0,0.567,0.305,10.381,3.41,Rumble_Strip
SEQ-0009,50,0.009,-0.352,10.659,3.41,Rumble_Strip
SEQ-0009,100,1.011,0.103,11.111,3.41,Rumble_Strip
SEQ-0009,150,0.486,-0.125,11.55,3.41,Rumble_Strip
SEQ-0009,200,0.399,-0.358,12.304,3.41,Rumble_Strip
SEQ-0009,250,0.782,-0.149,12.425,3.41,Rumble_Strip
SEQ-0009,300,0.769,0.409,12.455,3.41,Rumble_Strip
SEQ-0009,350,0.638,0.222,12.187,3.41,Rumble_Strip
SEQ-0009,400,0.799,0.214,12.408,3.41,Rumble_Strip
SEQ-0009,450,0.82,-0.221,12.92,3.41,Rumble_Strip
SEQ-0009,500,0.709,-0.215,12.488,3.41,Rumble_Strip
SEQ-0009,550,0.254,-0.126,12.554,3.41,Rumble_Strip
SEQ-0009,600,0.84,-0.003,12.709,3.41,Rumble_Strip
SEQ-0009,650,0.856,0.24,12.092,3.41,Rumble_Strip
SEQ-0009,700,0.725,0.189,11.736,3.41,Rumble_Strip
SEQ-0009,750,0.665,-0.107,12.438,3.41,Rumble_Strip
SEQ-0009,800,0.798,-0.316,11.481,3.41,Rumble_Strip
SEQ-0009,850,0.391,-0.065,10.626,3.41,Rumble_Strip
SEQ-0009,900,0.695,0.163,10.617,3.41,Rumble_Strip
SEQ-0009,950,0.159,-0.073,10.143,3.41,Rumble_Strip
SEQ-0010,0,0.048,0.36,11.186,2.75,Rumble_Strip
SEQ-0010,50,0.562,0.026,11.752,2.75,Rumble_Strip
SEQ-0010,100,0.251,-0.05,10.81,2.75,Rumble_Strip
SEQ-0010,150,-0.242,-0.044,8.941,2.75,Rumble_Strip
SEQ-0010,200,-0.734,0.084,7.29,2.75,Rumble_Strip
SEQ-0010,250,-0.196,0.199,8.698,2.75,Rumble_Strip
SEQ-0010,300,0.045,0.003,11.046,2.75,Rumble_Strip
SEQ-0010,350,0.857,0.257,11.956,2.75,Rumble_Strip
SEQ-0010,400,0.114,-0.348,10.592,2.75,Rumble_Strip
SEQ-0010,450,-0.653,-0.142,7.661,2.75,Rumble_Strip
SEQ-0010,500,-0.39,0.133,7.769,2.75,Rumble_Strip
SEQ-0010,550,0.075,-0.354,9.425,2.75,Rumble_Strip
SEQ-0010,600,0.459,0.306,12.007,2.75,Rumble_Strip
SEQ-0010,650,0.397,-0.173,12.337,2.75,Rumble_Strip
SEQ-0010,700,0.033,-0.038,9.803,2.75,Rumble_Strip
SEQ-0010,750,-0.53,-0.061,7.512,2.75,Rumble_Strip
SEQ-0010,800,-0.742,-0.09,7.941,2.75,Rumble_Strip
SEQ-0010,850,0.461,-0.167,10.243,2.75,Rumble_Strip
SEQ-0010,900,0.773,0.28,12.565,2.75,Rumble_Strip
SEQ-0010,950,0.331,0.069,11.093,2.75,Rumble_Strip
SEQ-0011,0,-0.013,-0.167,10.137,0.86,Smooth_Road
SEQ-0011,50,-0.266,0.097,9.553,0.86,Smooth_Road
SEQ-0011,100,-0.248,0.052,10.117,0.86,Smooth_Road
SEQ-0011,150,0.034,0.093,9.907,0.86,Smooth_Road
SEQ-0011,200,0.05,0.162,10.405,0.86,Smooth_Road
SEQ-0011,250,-0.203,0.086,9.896,0.86,Smooth_Road
SEQ-0011,300,-0.393,0.541,9.652,0.86,Smooth_Road
SEQ-0011,350,-0.243,-0.081,9.463,0.86,Smooth_Road
SEQ-0011,400,0.07,-0.069,10.305,0.86,Smooth_Road
SEQ-0011,450,0.155,-0.123,9.826,0.86,Smooth_Road
SEQ-0011,500,0.086,0.416,10.23,0.86,Smooth_Road
SEQ-0011,550,0.285,-0.224,10.109,0.86,Smooth_Road
SEQ-0011,600,-0.392,-0.172,9.986,0.86,Smooth_Road
SEQ-0011,650,0.242,0.071,9.479,0.86,Smooth_Road
SEQ-0011,700,0.132,-0.017,10.669,0.86,Smooth_Road
SEQ-0011,750,-0.097,0.158,9.839,0.86,Smooth_Road
SEQ-0011,800,-0.356,0.032,10.575,0.86,Smooth_Road
SEQ-0011,850,0.109,-0.144,10.473,0.86,Smooth_Road
SEQ-0011,900,-0.115,0.087,9.631,0.86,Smooth_Road
SEQ-0011,950,-0.141,0.433,9.672,0.86,Smooth_Road
SEQ-0012,0,-0.212,0.262,10.936,7.31,Pothole_Shock
SEQ-0012,50,-0.082,-0.088,9.973,7.31,Pothole_Shock
SEQ-0012,100,-0.281,-0.086,9.853,7.31,Pothole_Shock
SEQ-0012,150,0.377,-0.127,9.695,7.31,Pothole_Shock
SEQ-0012,200,0.171,0.08,10.584,7.31,Pothole_Shock
SEQ-0012,250,0.115,-0.192,9.6,7.31,Pothole_Shock
SEQ-0012,300,0.005,-0.017,9.72,7.31,Pothole_Shock
SEQ-0012,350,0.074,0.174,9.829,7.31,Pothole_Shock
SEQ-0012,400,-0.249,-0.04,10.223,7.31,Pothole_Shock
SEQ-0012,450,-0.02,0.112,9.353,7.31,Pothole_Shock
SEQ-0012,500,-0.261,0.157,6.208,7.31,Pothole_Shock
SEQ-0012,550,3.201,2.556,16.298,7.31,Pothole_Shock
SEQ-0012,600,-0.127,0.199,9.942,7.31,Pothole_Shock
SEQ-0012,650,0.423,0.109,9.853,7.31,Pothole_Shock
SEQ-0012,700,-0.107,0.015,9.933,7.31,Pothole_Shock
SEQ-0012,750,-0.074,0.09,9.667,7.31,Pothole_Shock
SEQ-0012,800,-0.037,-0.233,9.252,7.31,Pothole_Shock
SEQ-0012,850,-0.066,0.254,9.786,7.31,Pothole_Shock
SEQ-0012,900,-0.299,-0.249,10.078,7.31,Pothole_Shock
SEQ-0012,950,-0.071,-0.025,9.397,7.31,Pothole_Shock
SEQ-0013,0,-0.019,0.056,9.896,7.46,Pothole_Shock
SEQ-0013,50,0.153,0.337,9.808,7.46,Pothole_Shock
SEQ-0013,100,-0.167,-0.095,9.675,7.46,Pothole_Shock
SEQ-0013,150,-0.063,-0.185,9.549,7.46,Pothole_Shock
SEQ-0013,200,0.084,-0.021,9.703,7.46,Pothole_Shock
SEQ-0013,250,0.117,0.213,9.625,7.46,Pothole_Shock
SEQ-0013,300,-0.016,0.224,10.514,7.46,Pothole_Shock
SEQ-0013,350,-0.077,-0.462,9.978,7.46,Pothole_Shock
SEQ-0013,400,-0.059,-0.027,6.309,7.46,Pothole_Shock
SEQ-0013,450,2.33,1.541,17.155,7.46,Pothole_Shock
SEQ-0013,500,-0.009,0.143,9.318,7.46,Pothole_Shock
SEQ-0013,550,0.155,-0.024,9.579,7.46,Pothole_Shock
SEQ-0013,600,0.174,-0.17,10.053,7.46,Pothole_Shock
SEQ-0013,650,-0.2,0.36,9.893,7.46,Pothole_Shock
SEQ-0013,700,0.003,0.016,9.686,7.46,Pothole_Shock
SEQ-0013,750,-0.053,0.055,10.0,7.46,Pothole_Shock
SEQ-0013,800,-0.309,-0.061,9.593,7.46,Pothole_Shock
SEQ-0013,850,0.052,-0.045,9.321,7.46,Pothole_Shock
SEQ-0013,900,0.389,0.081,9.762,7.46,Pothole_Shock
SEQ-0013,950,0.218,-0.155,9.955,7.46,Pothole_Shock
SEQ-0014,0,0.087,0.254,9.804,0.83,Smooth_Road
SEQ-0014,50,0.151,-0.181,9.997,0.83,Smooth_Road
SEQ-0014,100,0.168,-0.187,10.015,0.83,Smooth_Road
SEQ-0014,150,-0.193,-0.221,10.176,0.83,Smooth_Road
SEQ-0014,200,0.3,-0.068,10.302,0.83,Smooth_Road
SEQ-0014,250,-0.217,0.019,10.269,0.83,Smooth_Road
SEQ-0014,300,0.061,-0.016,9.659,0.83,Smooth_Road
SEQ-0014,350,0.076,0.084,9.87,0.83,Smooth_Road
SEQ-0014,400,-0.057,-0.137,10.039,0.83,Smooth_Road
SEQ-0014,450,-0.24,0.176,9.459,0.83,Smooth_Road
SEQ-0014,500,-0.37,-0.113,9.725,0.83,Smooth_Road
SEQ-0014,550,-0.072,0.004,10.158,0.83,Smooth_Road
SEQ-0014,600,0.007,-0.246,10.362,0.83,Smooth_Road
SEQ-0014,650,0.135,-0.015,9.916,0.83,Smooth_Road
SEQ-0014,700,0.119,0.177,10.069,0.83,Smooth_Road
SEQ-0014,750,0.067,0.225,9.743,0.83,Smooth_Road
SEQ-0014,800,-0.087,0.074,10.255,0.83,Smooth_Road
SEQ-0014,850,-0.356,0.017,9.96,0.83,Smooth_Road
SEQ-0014,900,0.015,0.187,10.05,0.83,Smooth_Road
SEQ-0014,950,0.004,-0.385,9.486,0.83,Smooth_Road
SEQ-0015,0,0.054,0.244,9.443,1.04,Smooth_Road
SEQ-0015,50,0.231,-0.304,10.636,1.04,Smooth_Road
SEQ-0015,100,0.06,-0.12,9.235,1.04,Smooth_Road
SEQ-0015,150,0.363,0.078,9.835,1.04,Smooth_Road
SEQ-0015,200,-0.44,-0.258,9.538,1.04,Smooth_Road
SEQ-0015,250,-0.031,0.14,10.306,1.04,Smooth_Road
SEQ-0015,300,0.212,0.23,9.792,1.04,Smooth_Road
SEQ-0015,350,0.037,-0.134,10.017,1.04,Smooth_Road
SEQ-0015,400,-0.154,0.076,9.615,1.04,Smooth_Road
SEQ-0015,450,-0.271,-0.17,10.071,1.04,Smooth_Road
SEQ-0015,500,0.261,0.315,9.739,1.04,Smooth_Road
SEQ-0015,550,0.132,-0.097,9.914,1.04,Smooth_Road
SEQ-0015,600,0.099,-0.034,9.497,1.04,Smooth_Road
SEQ-0015,650,0.109,0.033,9.647,1.04,Smooth_Road
SEQ-0015,700,0.142,-0.365,10.011,1.04,Smooth_Road
SEQ-0015,750,0.118,-0.187,10.099,1.04,Smooth_Road
SEQ-0015,800,0.238,-0.066,10.521,1.04,Smooth_Road
SEQ-0015,850,-0.115,0.335,10.408,1.04,Smooth_Road
SEQ-0015,900,-0.337,0.119,9.961,1.04,Smooth_Road
SEQ-0015,950,-0.233,-0.219,9.93,1.04,Smooth_Road
SEQ-0016,0,0.225,0.169,9.378,0.9,Smooth_Road
SEQ-0016,50,-0.128,0.267,9.732,0.9,Smooth_Road
SEQ-0016,100,-0.204,0.244,9.776,0.9,Smooth_Road
SEQ-0016,150,-0.34,-0.399,10.434,0.9,Smooth_Road
SEQ-0016,200,-0.035,0.156,9.567,0.9,Smooth_Road
SEQ-0016,250,-0.285,0.063,9.496,0.9,Smooth_Road
SEQ-0016,300,0.062,0.149,10.612,0.9,Smooth_Road
SEQ-0016,350,-0.468,0.088,9.403,0.9,Smooth_Road
SEQ-0016,400,0.373,0.15,9.618,0.9,Smooth_Road
SEQ-0016,450,-0.216,-0.335,9.95,0.9,Smooth_Road
SEQ-0016,500,-0.145,-0.292,9.136,0.9,Smooth_Road
SEQ-0016,550,0.532,-0.123,9.408,0.9,Smooth_Road
SEQ-0016,600,-0.05,0.13,9.807,0.9,Smooth_Road
SEQ-0016,650,-0.056,0.178,9.384,0.9,Smooth_Road
SEQ-0016,700,0.001,-0.194,9.209,0.9,Smooth_Road
SEQ-0016,750,0.091,-0.015,9.78,0.9,Smooth_Road
SEQ-0016,800,-0.199,-0.158,9.539,0.9,Smooth_Road
SEQ-0016,850,0.158,0.421,10.028,0.9,Smooth_Road
SEQ-0016,900,-0.698,0.015,9.857,0.9,Smooth_Road
SEQ-0016,950,-0.023,0.509,10.309,0.9,Smooth_Road
SEQ-0017,0,-0.02,-0.295,9.837,0.81,Smooth_Road
SEQ-0017,50,-0.341,0.057,9.517,0.81,Smooth_Road
SEQ-0017,100,-0.115,0.013,9.496,0.81,Smooth_Road
SEQ-0017,150,0.223,-0.106,9.694,0.81,Smooth_Road
SEQ-0017,200,-0.159,-0.223,9.969,0.81,Smooth_Road
SEQ-0017,250,-0.245,0.157,9.641,0.81,Smooth_Road
SEQ-0017,300,-0.04,0.155,10.009,0.81,Smooth_Road
SEQ-0017,350,-0.082,0.448,9.522,0.81,Smooth_Road
SEQ-0017,400,0.26,0.213,9.59,0.81,Smooth_Road
SEQ-0017,450,-0.321,-0.03,9.835,0.81,Smooth_Road
SEQ-0017,500,-0.005,-0.122,10.091,0.81,Smooth_Road
SEQ-0017,550,0.115,-0.195,9.525,0.81,Smooth_Road
SEQ-0017,600,0.149,-0.2,9.64,0.81,Smooth_Road
SEQ-0017,650,0.205,-0.108,9.872,0.81,Smooth_Road
SEQ-0017,700,-0.18,0.124,9.675,0.81,Smooth_Road
SEQ-0017,750,0.036,-0.291,9.361,0.81,Smooth_Road
SEQ-0017,800,-0.236,0.412,9.597,0.81,Smooth_Road
SEQ-0017,850,-0.026,0.091,9.597,0.81,Smooth_Road
SEQ-0017,900,0.011,-0.196,9.808,0.81,Smooth_Road
SEQ-0017,950,0.112,-0.261,9.707,0.81,Smooth_Road
SEQ-0018,0,-0.268,0.367,9.896,3.05,Expansion_Joint
SEQ-0018,50,-0.221,0.26,9.823,3.05,Expansion_Joint
SEQ-0018,100,0.115,0.221,10.155,3.05,Expansion_Joint
SEQ-0018,150,0.226,-0.216,9.703,3.05,Expansion_Joint
SEQ-0018,200,-0.011,-0.24,9.714,3.05,Expansion_Joint
SEQ-0018,250,0.171,-0.071,10.169,3.05,Expansion_Joint
SEQ-0018,300,-0.106,0.363,9.413,3.05,Expansion_Joint
SEQ-0018,350,-0.057,0.093,9.846,3.05,Expansion_Joint
SEQ-0018,400,0.02,-0.216,9.352,3.05,Expansion_Joint
SEQ-0018,450,0.309,-0.533,9.837,3.05,Expansion_Joint
SEQ-0018,500,0.286,-0.217,10.436,3.05,Expansion_Joint
SEQ-0018,550,0.006,-0.087,12.848,3.05,Expansion_Joint
SEQ-0018,600,0.067,0.366,9.747,3.05,Expansion_Joint
SEQ-0018,650,0.008,0.079,9.77,3.05,Expansion_Joint
SEQ-0018,700,0.073,-0.105,9.99,3.05,Expansion_Joint
SEQ-0018,750,-0.199,-0.37,9.494,3.05,Expansion_Joint
SEQ-0018,800,-0.272,-0.1,10.432,3.05,Expansion_Joint
SEQ-0018,850,-0.187,0.267,9.987,3.05,Expansion_Joint
SEQ-0018,900,0.14,-0.15,10.078,3.05,Expansion_Joint
SEQ-0018,950,0.087,0.309,10.211,3.05,Expansion_Joint
SEQ-0019,0,-0.37,0.049,10.885,3.35,Expansion_Joint
SEQ-0019,50,-0.171,0.061,9.626,3.35,Expansion_Joint
SEQ-0019,100,0.093,0.344,9.472,3.35,Expansion_Joint
SEQ-0019,150,0.008,0.152,9.562,3.35,Expansion_Joint
SEQ-0019,200,0.054,-0.357,10.03,3.35,Expansion_Joint
SEQ-0019,250,-0.025,0.171,10.041,3.35,Expansion_Joint
SEQ-0019,300,-0.167,-0.09,9.17,3.35,Expansion_Joint
SEQ-0019,350,0.238,0.06,9.64,3.35,Expansion_Joint
SEQ-0019,400,0.261,-0.058,9.921,3.35,Expansion_Joint
SEQ-0019,450,0.169,-0.013,12.082,3.35,Expansion_Joint
SEQ-0019,500,0.206,0.025,9.998,3.35,Expansion_Joint
SEQ-0019,550,-0.118,0.016,9.715,3.35,Expansion_Joint
SEQ-0019,600,0.059,-0.112,9.854,3.35,Expansion_Joint
SEQ-0019,650,-0.082,-0.061,10.238,3.35,Expansion_Joint
SEQ-0019,700,-0.362,-0.272,9.797,3.35,Expansion_Joint
SEQ-0019,750,0.132,-0.313,10.126,3.35,Expansion_Joint
SEQ-0019,800,-0.135,-0.196,9.557,3.35,Expansion_Joint
SEQ-0019,850,0.224,-0.085,9.397,3.35,Expansion_Joint
SEQ-0019,900,-0.242,-0.087,9.628,3.35,Expansion_Joint
SEQ-0019,950,-0.152,0.063,10.716,3.35,Expansion_Joint
SEQ-0020,0,0.128,-0.022,9.649,0.92,Smooth_Road
SEQ-0020,50,-0.421,0.225,9.619,0.92,Smooth_Road
SEQ-0020,100,-0.071,-0.129,9.576,0.92,Smooth_Road
SEQ-0020,150,-0.069,0.487,10.217,0.92,Smooth_Road
SEQ-0020,200,0.31,-0.079,10.071,0.92,Smooth_Road
SEQ-0020,250,0.097,-0.04,9.95,0.92,Smooth_Road
SEQ-0020,300,-0.356,0.285,9.629,0.92,Smooth_Road
SEQ-0020,350,-0.027,0.153,10.324,0.92,Smooth_Road
SEQ-0020,400,-0.113,-0.12,9.332,0.92,Smooth_Road
SEQ-0020,450,0.237,-0.144,9.939,0.92,Smooth_Road
SEQ-0020,500,0.02,-0.035,10.523,0.92,Smooth_Road
