crack_id,crack_type,crack_width_mm,crack_length_m,severity,structural_deduct
CRACK500-00069,Alligator,20.0,4.5,High,36.0
CRACK500-00070,Longitudinal,17.6,1.7,High,31.7
CRACK500-00071,Transverse,16.2,12.6,High,29.2
CRACK500-00072,Alligator,20.3,5.8,High,36.5
CRACK500-00073,Longitudinal,4.0,12.5,Low,7.2
CRACK500-00074,Transverse,5.2,4.9,Low,9.4
CRACK500-00075,Alligator,11.7,2.5,Medium,21.1
CRACK500-00076,Longitudinal,12.0,10.0,Medium,21.6
CRACK500-00077,Transverse,8.8,11.3,Medium,15.8
CRACK500-00078,Alligator,3.6,14.2,Low,6.5
CRACK500-00079,Longitudinal,14.1,2.5,High,25.4
CRACK500-00080,Transverse,7.0,6.2,Medium,12.6
CRACK500-00081,Alligator,10.6,9.5,Medium,19.1
CRACK500-00082,Longitudinal,14.9,12.3,High,26.8
CRACK500-00083,Transverse,18.5,4.8,High,33.3
CRACK500-00084,Alligator,21.0,6.4,High,37.8
CRACK500-00085,Longitudinal,21.9,9.1,High,39.4
CRACK500-00086,Transverse,20.9,2.6,High,37.6
CRACK500-00087,Alligator,12.4,14.3,High,22.3
CRACK500-00088,Longitudinal,11.2,4.1,Medium,20.2
CRACK500-00089,Transverse,13.8,5.1,High,24.8
CRACK500-00090,Alligator,16.6,2.5,High,29.9
CRACK500-00091,Longitudinal,15.0,3.4,High,27.0
CRACK500-00092,Transverse,11.1,11.7,Medium,20.0
CRACK500-00093,Alligator,8.6,14.3,Medium,15.5
CRACK500-00094,Longitudinal,20.9,9.0,High,37.6
CRACK500-00095,Transverse,14.2,13.3,High,25.6
CRACK500-00096,Alligator,18.8,8.8,High,33.8
CRACK500-00097,Longitudinal,18.6,4.2,High,33.5
CRACK500-00098,Transverse,20.0,14.1,High,36.0
CRACK500-00099,Alligator,15.9,1.8,High,28.6
CRACK500-00100,Longitudinal,16.9,4.0,High,30.4
CRACK500-00101,Transverse,10.0,9.0,Medium,18.0
CRACK500-00102,Alligator,19.3,5.7,High,34.7
CRACK500-00103,Longitudinal,16.1,5.0,High,29.0
CRACK500-00104,Transverse,5.8,8.7,Low,10.4
CRACK500-00105,Alligator,10.7,2.2,Medium,19.3
CRACK500-00106,Longitudinal,6.2,13.0,Medium,11.2
CRACK500-00107,Transverse,9.1,7.0,Medium,16.4
CRACK500-00108,Alligator,8.9,4.6,Medium,16.0
CRACK500-00109,Longitudinal,17.5,8.5,High,31.5
CRACK500-00110,Transverse,3.8,10.9,Low,6.8
CRACK500-00111,Alligator,16.4,6.8,High,29.5
CRACK500-00112,Longitudinal,3.1,2.5,Low,5.6
CRACK500-00113,Transverse,18.7,10.5,High,33.7
CRACK500-00114,Alligator,17.8,9.8,High,32.0
CRACK500-00115,Longitudinal,15.2,13.6,High,27.4
CRACK500-00116,Transverse,4.3,4.4,Low,7.7
CRACK500-00117,Alligator,7.0,10.7,Medium,12.6
CRACK500-00118,Longitudinal,12.3,14.2,High,22.1
CRACK500-00119,Transverse,12.4,13.8,High,22.3
CRACK500-00120,Alligator,13.2,6.2,High,23.8
CRACK500-00121,Longitudinal,3.2,7.4,Low,5.8
CRACK500-00122,Transverse,15.8,13.5,High,28.4
CRACK500-00123,Alligator,18.6,6.0,High,33.5
CRACK500-00124,Longitudinal,6.0,5.3,Low,10.8
CRACK500-00125,Transverse,9.9,8.8,Medium,17.8
CRACK500-00126,Alligator,8.6,1.3,Medium,15.5
CRACK500-00127,Longitudinal,5.1,8.2,Low,9.2
CRACK500-00128,Transverse,7.5,5.3,Medium,13.5
CRACK500-00129,Alligator,20.7,4.8,High,37.3
CRACK500-00130,Longitudinal,19.2,4.2,High,34.6
CRACK500-00131,Transverse,18.9,14.2,High,34.0
CRACK500-00132,Alligator,15.9,5.2,High,28.6
CRACK500-00133,Longitudinal,8.5,4.7,Medium,15.3
CRACK500-00134,Transverse,3.1,14.2,Low,5.6
CRACK500-00135,Alligator,12.7,11.2,High,22.9
CRACK500-00136,Longitudinal,14.1,7.8,High,25.4
CRACK500-00137,Transverse,15.6,10.5,High,28.1
CRACK500-00138,Alligator,14.7,13.2,High,26.5
CRACK500-00139,Longitudinal,18.0,8.3,High,32.4
CRACK500-00140,Transverse,17.9,8.4,High,32.2
CRACK500-00141,Alligator,9.8,7.7,Medium,17.6
CRACK500-00142,Longitudinal,7.5,5.5,Medium,13.5
CRACK500-00143,Transverse,17.9,5.9,High,32.2
CRACK500-00144,Alligator,12.4,12.1,High,22.3
CRACK500-00145,Longitudinal,12.2,3.1,High,22.0
CRACK500-00146,Transverse,17.2,6.8,High,31.0
CRACK500-00147,Alligator,8.1,9.7,Medium,14.6
CRACK500-00148,Longitudinal,3.3,5.0,Low,5.9
CRACK500-00149,Transverse,3.3,10.4,Low,5.9
CRACK500-00150,Alligator,10.0,6.0,Medium,18.0
CRACK500-00151,Longitudinal,8.9,12.9,Medium,16.0
CRACK500-00152,Transverse,18.2,11.2,High,32.8
CRACK500-00153,Alligator,5.3,12.0,Low,9.5
CRACK500-00154,Longitudinal,9.4,2.1,Medium,16.9
CRACK500-00155,Transverse,15.8,12.4,High,28.4
CRACK500-00156,Alligator,21.0,2.3,High,37.8
CRACK500-00157,Longitudinal,11.6,12.5,Medium,20.9
CRACK500-00158,Transverse,6.7,1.8,Medium,12.1
CRACK500-00159,Alligator,3.7,14.5,Low,6.7
CRACK500-00160,Longitudinal,7.3,4.2,Medium,13.1
CRACK500-00161,Transverse,8.2,5.2,Medium,14.8
CRACK500-00162,Alligator,18.8,12.7,High,33.8
CRACK500-00163,Longitudinal,4.1,1.5,Low,7.4
CRACK500-00164,Transverse,13.5,13.8,High,24.3
CRACK500-00165,Alligator,16.3,12.4,High,29.3
CRACK500-00166,Longitudinal,6.6,7.9,Medium,11.9
CRACK500-00167,Transverse,10.0,2.2,Medium,18.0
CRACK500-00168,Alligator,4.2,4.5,Low,7.6
CRACK500-00169,Longitudinal,9.8,6.9,Medium,17.6
CRACK500-00170,Transverse,17.5,8.4,High,31.5
CRACK500-00171,Alligator,18.7,11.8,High,33.7
CRACK500-00172,Longitudinal,18.4,11.1,High,33.1
CRACK500-00173,Transverse,8.7,7.3,Medium,15.7
CRACK500-00174,Alligator,19.4,7.6,High,34.9
CRACK500-00175,Longitudinal,8.3,4.1,Medium,14.9
CRACK500-00176,Transverse,14.0,1.5,High,25.2
CRACK500-00177,Alligator,6.2,11.1,Medium,11.2
CRACK500-00178,Longitudinal,19.1,3.0,High,34.4
CRACK500-00179,Transverse,3.1,11.2,Low,5.6
CRACK500-00180,Alligator,10.3,12.7,Medium,18.5
CRACK500-00181,Longitudinal,10.3,3.1,Medium,18.5
CRACK500-00182,Transverse,17.2,2.9,High,31.0
CRACK500-00183,Alligator,15.7,4.3,High,28.3
CRACK500-00184,Longitudinal,12.5,4.0,High,22.5
CRACK500-00185,Transverse,9.2,8.3,Medium,16.6
CRACK500-00186,Alligator,12.9,1.4,High,23.2
CRACK500-00187,Longitudinal,5.2,4.1,Low,9.4
CRACK500-00188,Transverse,17.6,1.3,High,31.7
CRACK500-00189,Alligator,15.9,3.6,High,28.6
CRACK500-00190,Longitudinal,4.0,9.3,Low,7.2
CRACK500-00191,Transverse,20.4,9.4,High,36.7
CRACK500-00192,Alligator,8.4,2.8,Medium,15.1
CRACK500-00193,Longitudinal,6.9,3.3,Medium,12.4
CRACK500-00194,Transverse,20.7,10.2,High,37.3
CRACK500-00195,Alligator,4.5,8.3,Low,8.1
CRACK500-00196,Longitudinal,14.8,4.4,High,26.6
CRACK500-00197,Transverse,9.9,12.5,Medium,17.8
CRACK500-00198,Alligator,5.8,7.6,Low,10.4
CRACK500-00199,Longitudinal,3.8,11.2,Low,6.8
CRACK500-00200,Transverse,17.2,12.9,High,31.0
CRACK500-00201,Alligator,17.4,10.9,High,31.3
CRACK500-00202,Longitudinal,19.5,3.5,High,35.1
CRACK500-00203,Transverse,14.6,12.3,High,26.3
CRACK500-00204,Alligator,15.0,3.1,High,27.0
CRACK500-00205,Longitudinal,13.6,4.9,High,24.5
CRACK500-00206,Transverse,13.4,9.8,High,24.1
CRACK500-00207,Alligator,21.9,7.6,High,39.4
CRACK500-00208,Longitudinal,20.0,10.7,High,36.0
CRACK500-00209,Transverse,5.3,7.4,Low,9.5
CRACK500-00210,Alligator,15.3,2.7,High,27.5
CRACK500-00211,Longitudinal,4.0,2.4,Low,7.2
CRACK500-00212,Transverse,11.8,9.5,Medium,21.2
CRACK500-00213,Alligator,12.3,6.1,High,22.1
CRACK500-00214,Longitudinal,19.3,14.5,High,34.7
CRACK500-00215,Transverse,17.7,11.0,High,31.9
CRACK500-00216,Alligator,9.6,7.8,Medium,17.3
CRACK500-00217,Longitudinal,21.5,4.9,High,38.7
CRACK500-00218,Transverse,15.4,11.9,High,27.7
CRACK500-00219,Alligator,4.5,6.0,Low,8.1
CRACK500-00220,Longitudinal,20.9,7.4,High,37.6
CRACK500-00221,Transverse,12.6,1.8,High,22.7
CRACK500-00222,Alligator,20.4,2.0,High,36.7
CRACK500-00223,Longitudinal,6.4,6.6,Medium,11.5
CRACK500-00224,Transverse,16.1,8.2,High,29.0
CRACK500-00225,Alligator,5.4,2.0,Low,9.7
CRACK500-00226,Longitudinal,19.0,4.1,High,34.2
CRACK500-00227,Transverse,7.9,8.4,Medium,14.2
CRACK500-00228,Alligator,8.6,4.4,Medium,15.5
CRACK500-00229,Longitudinal,16.0,2.2,High,28.8
CRACK500-00230,Transverse,14.7,3.1,High,26.5
CRACK500-00231,Alligator,17.8,12.3,High,32.0
CRACK500-00232,Longitudinal,19.3,10.7,High,34.7
CRACK500-00233,Transverse,6.2,8.2,Medium,11.2
CRACK500-00234,Alligator,7.4,13.8,Medium,13.3
CRACK500-00235,Longitudinal,21.3,11.2,High,38.3
CRACK500-00236,Transverse,14.4,7.3,High,25.9
CRACK500-00237,Alligator,14.7,3.6,High,26.5
CRACK500-00238,Longitudinal,8.4,5.8,Medium,15.1
CRACK500-00239,Transverse,19.3,13.6,High,34.7
CRACK500-00240,Alligator,8.2,6.6,Medium,14.8
CRACK500-00241,Longitudinal,11.6,4.1,Medium,20.9
CRACK500-00242,Transverse,5.5,7.7,Low,9.9
CRACK500-00243,Alligator,5.7,9.5,Low,10.3
CRACK500-00244,Longitudinal,9.7,6.1,Medium,17.5
CRACK500-00245,Transverse,3.6,5.5,Low,6.5
CRACK500-00246,Alligator,20.2,6.7,High,36.4
CRACK500-00247,Longitudinal,16.1,9.5,High,29.0
CRACK500-00248,Transverse,16.7,9.9,High,30.1
CRACK500-00249,Alligator,3.2,13.3,Low,5.8
CRACK500-00250,Longitudinal,14.7,7.2,High,26.5
CRACK500-00251,Transverse,4.0,13.0,Low,7.2
CRACK500-00252,Alligator,4.7,1.7,Low,8.5
CRACK500-00253,Longitudinal,16.6,14.2,High,29.9
CRACK500-00254,Transverse,13.5,1.6,High,24.3
CRACK500-00255,Alligator,19.8,5.6,High,35.6
CRACK500-00256,Longitudinal,21.6,7.6,High,38.9
CRACK500-00257,Transverse,5.6,13.6,Low,10.1
CRACK500-00258,Alligator,8.9,14.1,Medium,16.0
CRACK500-00259,Longitudinal,16.6,3.1,High,29.9
CRACK500-00260,Transverse,17.6,4.8,High,31.7
CRACK500-00261,Alligator,13.5,8.2,High,24.3
CRACK500-00262,Longitudinal,15.3,9.2,High,27.5
CRACK500-00263,Transverse,3.2,5.0,Low,5.8
CRACK500-00264,Alligator,15.6,13.6,High,28.1
CRACK500-00265,Longitudinal,14.6,7.0,High,26.3
CRACK500-00266,Transverse,7.7,11.8,Medium,13.9
CRACK500-00267,Alligator,14.3,13.5,High,25.7
CRACK500-00268,Longitudinal,16.3,9.4,High,29.3
CRACK500-00269,Transverse,18.1,10.9,High,32.6
CRACK500-00270,Alligator,11.6,1.3,Medium,20.9
CRACK500-00271,Longitudinal,13.3,12.9,High,23.9
CRACK500-00272,Transverse,20.5,10.6,High,36.9
CRACK500-00273,Alligator,16.7,11.7,High,30.1
CRACK500-00274,Longitudinal,11.1,7.6,Medium,20.0
CRACK500-00275,Transverse,10.4,13.6,Medium,18.7
CRACK500-00276,Alligator,8.0,13.8,Medium,14.4
CRACK500-00277,Longitudinal,17.0,4.6,High,30.6
CRACK500-00278,Transverse,5.0,14.1,Low,9.0
CRACK500-00279,Alligator,3.8,3.4,Low,6.8
CRACK500-00280,Longitudinal,17.1,7.6,High,30.8
CRACK500-00281,Transverse,7.2,11.5,Medium,13.0
CRACK500-00282,Alligator,8.4,5.8,Medium,15.1
CRACK500-00283,Longitudinal,12.1,11.6,High,21.8
CRACK500-00284,Transverse,21.8,12.4,High,39.2
CRACK500-00285,Alligator,15.2,9.6,High,27.4
CRACK500-00286,Longitudinal,17.9,8.8,High,32.2
CRACK500-00287,Transverse,3.2,7.6,Low,5.8
CRACK500-00288,Alligator,13.3,9.5,High,23.9
CRACK500-00289,Longitudinal,3.9,6.0,Low,7.0
CRACK500-00290,Transverse,10.9,11.9,Medium,19.6
CRACK500-00291,Alligator,19.6,12.8,High,35.3
CRACK500-00292,Longitudinal,6.3,7.3,Medium,11.3
CRACK500-00293,Transverse,3.8,3.8,Low,6.8
CRACK500-00294,Alligator,5.3,12.4,Low,9.5
CRACK500-00295,Longitudinal,13.5,8.7,High,24.3
CRACK500-00296,Transverse,3.8,4.7,Low,6.8
CRACK500-00297,Alligator,6.4,8.1,Medium,11.5
CRACK500-00298,Longitudinal,11.4,9.0,Medium,20.5
CRACK500-00299,Transverse,17.7,13.7,High,31.9
CRACK500-00300,Alligator,4.9,2.3,Low,8.8
CRACK500-00301,Longitudinal,11.6,11.4,Medium,20.9
CRACK500-00302,Transverse,4.9,12.7,Low,8.8
CRACK500-00303,Alligator,13.7,6.0,High,24.7
CRACK500-00304,Longitudinal,14.5,6.6,High,26.1
CRACK500-00305,Transverse,10.4,8.4,Medium,18.7
CRACK500-00306,Alligator,4.9,10.3,Low,8.8
CRACK500-00307,Longitudinal,16.5,13.5,High,29.7
CRACK500-00308,Transverse,15.1,14.4,High,27.2
CRACK500-00309,Alligator,17.0,8.9,High,30.6
CRACK500-00310,Longitudinal,14.1,11.7,High,25.4
CRACK500-00311,Transverse,10.6,2.2,Medium,19.1
CRACK500-00312,Alligator,16.6,12.7,High,29.9
CRACK500-00313,Longitudinal,3.6,9.2,Low,6.5
CRACK500-00314,Transverse,17.9,8.6,High,32.2
CRACK500-00315,Alligator,5.5,12.6,Low,9.9
CRACK500-00316,Longitudinal,4.8,2.8,Low,8.6
CRACK500-00317,Transverse,6.4,7.6,Medium,11.5
CRACK500-00318,Alligator,17.2,11.5,High,31.0
CRACK500-00319,Longitudinal,14.0,8.3,High,25.2
CRACK500-00320,Transverse,19.6,10.1,High,35.3
CRACK500-00321,Alligator,13.6,3.6,High,24.5
CRACK500-00322,Longitudinal,6.8,5.2,Medium,12.2
CRACK500-00323,Transverse,5.1,12.9,Low,9.2
CRACK500-00324,Alligator,14.8,9.3,High,26.6
CRACK500-00325,Longitudinal,11.0,6.1,Medium,19.8
CRACK500-00326,Transverse,6.9,1.2,Medium,12.4
CRACK500-00327,Alligator,5.7,13.4,Low,10.3
CRACK500-00328,Longitudinal,14.6,7.1,High,26.3
CRACK500-00329,Transverse,22.0,1.5,High,39.6
CRACK500-00330,Alligator,11.2,11.1,Medium,20.2
CRACK500-00331,Longitudinal,8.2,9.8,Medium,14.8
CRACK500-00332,Transverse,20.0,5.2,High,36.0
CRACK500-00333,Alligator,11.9,14.1,Medium,21.4
CRACK500-00334,Longitudinal,14.3,7.9,High,25.7
CRACK500-00335,Transverse,7.4,8.7,Medium,13.3
CRACK500-00336,Alligator,11.9,8.5,Medium,21.4
CRACK500-00337,Longitudinal,4.5,11.7,Low,8.1
CRACK500-00338,Transverse,18.7,14.2,High,33.7
CRACK500-00339,Alligator,16.8,4.1,High,30.2
CRACK500-00340,Longitudinal,21.0,3.7,High,37.8
CRACK500-00341,Transverse,7.7,13.2,Medium,13.9
CRACK500-00342,Alligator,13.7,2.9,High,24.7
CRACK500-00343,Longitudinal,13.7,7.0,High,24.7
CRACK500-00344,Transverse,8.1,10.4,Medium,14.6
CRACK500-00345,Alligator,11.1,11.1,Medium,20.0
CRACK500-00346,Longitudinal,9.9,6.4,Medium,17.8
CRACK500-00347,Transverse,4.0,13.8,Low,7.2
CRACK500-00348,Alligator,19.0,7.1,High,34.2
CRACK500-00349,Longitudinal,13.6,7.1,High,24.5
CRACK500-00350,Transverse,6.6,6.8,Medium,11.9
CRACK500-00351,Alligator,5.5,8.3,Low,9.9
CRACK500-00352,Longitudinal,14.6,2.7,High,26.3
CRACK500-00353,Transverse,21.6,4.7,High,38.9
CRACK500-00354,Alligator,21.7,10.0,High,39.1
CRACK500-00355,Longitudinal,4.3,13.9,Low,7.7
CRACK500-00356,Transverse,10.9,13.5,Medium,19.6
CRACK500-00357,Alligator,15.8,8.1,High,28.4
CRACK500-00358,Longitudinal,19.0,10.8,High,34.2
CRACK500-00359,Transverse,7.2,5.0,Medium,13.0
CRACK500-00360,Alligator,13.8,3.2,High,24.8
CRACK500-00361,Longitudinal,11.7,7.1,Medium,21.1
CRACK500-00362,Transverse,8.9,5.7,Medium,16.0
CRACK500-00363,Alligator,15.8,10.5,High,28.4
CRACK500-00364,Longitudinal,21.0,11.1,High,37.8
CRACK500-00365,Transverse,8.5,4.5,Medium,15.3
CRACK500-00366,Alligator,9.8,12.7,Medium,17.6
CRACK500-00367,Longitudinal,15.3,2.1,High,27.5
CRACK500-00368,Transverse,15.7,12.0,High,28.3
CRACK500-00369,Alligator,15.4,5.6,High,27.7
CRACK500-00370,Longitudinal,19.6,11.9,High,35.3
CRACK500-00371,Transverse,19.6,10.2,High,35.3
CRACK500-00372,Alligator,13.3,13.1,High,23.9
CRACK500-00373,Longitudinal,3.7,6.5,Low,6.7
CRACK500-00374,Transverse,18.9,2.6,High,34.0
CRACK500-00375,Alligator,13.6,3.5,High,24.5
CRACK500-00376,Longitudinal,7.9,11.9,Medium,14.2
CRACK500-00377,Transverse,5.5,4.4,Low,9.9
CRACK500-00378,Alligator,4.8,11.3,Low,8.6
CRACK500-00379,Longitudinal,3.4,10.6,Low,6.1
CRACK500-00380,Transverse,13.1,5.7,High,23.6
CRACK500-00381,Alligator,7.9,3.3,Medium,14.2
CRACK500-00382,Longitudinal,18.7,1.9,High,33.7
CRACK500-00383,Transverse,6.2,1.5,Medium,11.2
CRACK500-00384,Alligator,16.5,8.1,High,29.7
CRACK500-00385,Longitudinal,7.3,6.4,Medium,13.1
CRACK500-00386,Transverse,13.3,8.6,High,23.9
CRACK500-00387,Alligator,14.7,12.9,High,26.5
CRACK500-00388,Longitudinal,11.7,10.8,Medium,21.1
CRACK500-00389,Transverse,5.8,13.6,Low,10.4
CRACK500-00390,Alligator,9.5,4.6,Medium,17.1
CRACK500-00391,Longitudinal,16.6,9.9,High,29.9
CRACK500-00392,Transverse,3.0,12.5,Low,5.4
CRACK500-00393,Alligator,16.0,13.7,High,28.8
CRACK500-00394,Longitudinal,20.0,4.8,High,36.0
CRACK500-00395,Transverse,21.7,11.3,High,39.1
CRACK500-00396,Alligator,16.0,2.5,High,28.8
CRACK500-00397,Longitudinal,14.1,12.2,High,25.4
CRACK500-00398,Transverse,20.6,4.4,High,37.1
CRACK500-00399,Alligator,8.8,6.6,Medium,15.8
CRACK500-00400,Longitudinal,19.1,7.5,High,34.4
