sample_id,highway,lat,lng,class_id,distress_type,confidence,u_min,v_min,width,height,weather
RDD-IND-00068,Mumbai-Pune Exp KM 88.0,28.7845,77.1628,4,D40_Pothole,0.981,0.499,0.42,0.241,0.157,Overcast
RDD-IND-00069,NH-44 KM 108.4,28.7857,77.1637,0,Normal,0.917,0.66,0.74,0.134,0.12,Monsoon Rain
RDD-IND-00070,NH-48 KM 214.2,28.7869,77.1646,4,D40_Pothole,0.997,0.332,0.612,0.088,0.137,Sunny Daylight
RDD-IND-00071,NH-66 KM 45.1,28.7881,77.1655,4,D40_Pothole,0.978,0.222,0.752,0.284,0.186,Night Sodium
RDD-IND-00072,Mumbai-Pune Exp KM 88.0,28.7893,77.1664,0,Normal,0.927,0.344,0.76,0.102,0.205,Overcast
RDD-IND-00073,NH-44 KM 108.4,28.7905,77.1673,0,Normal,0.91,0.12,0.408,0.1,0.128,Monsoon Rain
RDD-IND-00074,NH-48 KM 214.2,28.7917,77.1682,4,D40_Pothole,0.982,0.687,0.403,0.236,0.051,Sunny Daylight
RDD-IND-00075,NH-66 KM 45.1,28.7929,77.1691,3,D20_Alligator,0.972,0.686,0.459,0.224,0.054,Night Sodium
RDD-IND-00076,Mumbai-Pune Exp KM 88.0,28.7941,77.17,3,D20_Alligator,0.974,0.275,0.423,0.168,0.195,Overcast
RDD-IND-00077,NH-44 KM 108.4,28.7953,77.1709,4,D40_Pothole,0.978,0.6,0.65,0.104,0.202,Monsoon Rain
RDD-IND-00078,NH-48 KM 214.2,28.7965,77.1718,0,Normal,0.917,0.482,0.769,0.292,0.105,Sunny Daylight
RDD-IND-00079,NH-66 KM 45.1,28.7977,77.1727,1,D00_Longitudinal,0.942,0.228,0.714,0.324,0.129,Night Sodium
RDD-IND-00080,Mumbai-Pune Exp KM 88.0,28.7989,77.1736,0,Normal,0.92,0.448,0.66,0.169,0.171,Overcast
RDD-IND-00081,NH-44 KM 108.4,28.8001,77.1745,4,D40_Pothole,0.986,0.267,0.438,0.305,0.08,Monsoon Rain
RDD-IND-00082,NH-48 KM 214.2,28.8013,77.1754,3,D20_Alligator,0.965,0.245,0.641,0.133,0.178,Sunny Daylight
RDD-IND-00083,NH-66 KM 45.1,28.8025,77.1763,1,D00_Longitudinal,0.939,0.137,0.527,0.158,0.105,Night Sodium
RDD-IND-00084,Mumbai-Pune Exp KM 88.0,28.8037,77.1772,0,Normal,0.916,0.624,0.343,0.088,0.171,Overcast
RDD-IND-00085,NH-44 KM 108.4,28.8049,77.1781,1,D00_Longitudinal,0.937,0.435,0.549,0.243,0.056,Monsoon Rain
RDD-IND-00086,NH-48 KM 214.2,28.8061,77.179,1,D00_Longitudinal,0.939,0.517,0.759,0.292,0.094,Sunny Daylight
RDD-IND-00087,NH-66 KM 45.1,28.8073,77.1799,3,D20_Alligator,0.974,0.578,0.408,0.324,0.208,Night Sodium
RDD-IND-00088,Mumbai-Pune Exp KM 88.0,28.8085,77.1808,3,D20_Alligator,0.966,0.339,0.446,0.272,0.18,Overcast
RDD-IND-00089,NH-44 KM 108.4,28.8097,77.1817,4,D40_Pothole,0.988,0.378,0.678,0.238,0.061,Monsoon Rain
RDD-IND-00090,NH-48 KM 214.2,28.8109,77.1826,2,D10_Lateral,0.952,0.209,0.583,0.088,0.112,Sunny Daylight
RDD-IND-00091,NH-66 KM 45.1,28.8121,77.1835,0,Normal,0.921,0.333,0.62,0.316,0.182,Night Sodium
RDD-IND-00092,Mumbai-Pune Exp KM 88.0,28.8133,77.1844,3,D20_Alligator,0.973,0.19,0.672,0.24,0.066,Overcast
RDD-IND-00093,NH-44 KM 108.4,28.8145,77.1853,4,D40_Pothole,0.977,0.513,0.678,0.136,0.174,Monsoon Rain
RDD-IND-00094,NH-48 KM 214.2,28.8157,77.1862,3,D20_Alligator,0.959,0.598,0.426,0.218,0.188,Sunny Daylight
RDD-IND-00095,NH-66 KM 45.1,28.8169,77.1871,4,D40_Pothole,0.978,0.173,0.349,0.184,0.248,Night Sodium
RDD-IND-00096,Mumbai-Pune Exp KM 88.0,28.8181,77.188,2,D10_Lateral,0.953,0.316,0.69,0.329,0.102,Overcast
RDD-IND-00097,NH-44 KM 108.4,28.8193,77.1889,2,D10_Lateral,0.956,0.493,0.393,0.278,0.168,Monsoon Rain
RDD-IND-00098,NH-48 KM 214.2,28.8205,77.1898,2,D10_Lateral,0.948,0.25,0.373,0.177,0.13,Sunny Daylight
RDD-IND-00099,NH-66 KM 45.1,28.8217,77.1907,0,Normal,0.912,0.498,0.453,0.266,0.1,Night Sodium
RDD-IND-00100,Mumbai-Pune Exp KM 88.0,28.8229,77.1916,0,Normal,0.919,0.561,0.55,0.302,0.133,Overcast
RDD-IND-00101,NH-44 KM 108.4,28.8241,77.1925,0,Normal,0.913,0.67,0.462,0.193,0.194,Monsoon Rain
RDD-IND-00102,NH-48 KM 214.2,28.8253,77.1934,3,D20_Alligator,0.966,0.177,0.547,0.146,0.066,Sunny Daylight
RDD-IND-00103,NH-66 KM 45.1,28.8265,77.1943,1,D00_Longitudinal,0.938,0.389,0.796,0.189,0.071,Night Sodium
RDD-IND-00104,Mumbai-Pune Exp KM 88.0,28.8277,77.1952,2,D10_Lateral,0.955,0.651,0.573,0.166,0.115,Overcast
RDD-IND-00105,NH-44 KM 108.4,28.8289,77.1961,4,D40_Pothole,0.99,0.56,0.784,0.331,0.146,Monsoon Rain
RDD-IND-00106,NH-48 KM 214.2,28.8301,77.197,1,D00_Longitudinal,0.932,0.143,0.78,0.193,0.113,Sunny Daylight
RDD-IND-00107,NH-66 KM 45.1,28.8313,77.1979,2,D10_Lateral,0.946,0.198,0.663,0.2,0.201,Night Sodium
RDD-IND-00108,Mumbai-Pune Exp KM 88.0,28.8325,77.1988,4,D40_Pothole,0.976,0.644,0.756,0.291,0.092,Overcast
RDD-IND-00109,NH-44 KM 108.4,28.8337,77.1997,1,D00_Longitudinal,0.93,0.294,0.549,0.222,0.129,Monsoon Rain
RDD-IND-00110,NH-48 KM 214.2,28.8349,77.2006,0,Normal,0.917,0.511,0.611,0.252,0.197,Sunny Daylight
RDD-IND-00111,NH-66 KM 45.1,28.8361,77.2015,1,D00_Longitudinal,0.935,0.305,0.654,0.305,0.093,Night Sodium
RDD-IND-00112,Mumbai-Pune Exp KM 88.0,28.8373,77.2024,0,Normal,0.924,0.356,0.473,0.183,0.197,Overcast
RDD-IND-00113,NH-44 KM 108.4,28.8385,77.2033,4,D40_Pothole,0.992,0.554,0.453,0.109,0.217,Monsoon Rain
RDD-IND-00114,NH-48 KM 214.2,28.8397,77.2042,4,D40_Pothole,0.981,0.471,0.717,0.216,0.247,Sunny Daylight
RDD-IND-00115,NH-66 KM 45.1,28.8409,77.2051,3,D20_Alligator,0.966,0.287,0.686,0.317,0.233,Night Sodium
RDD-IND-00116,Mumbai-Pune Exp KM 88.0,28.8421,77.206,4,D40_Pothole,0.987,0.457,0.607,0.275,0.186,Overcast
RDD-IND-00117,NH-44 KM 108.4,28.8433,77.2069,4,D40_Pothole,0.981,0.292,0.712,0.175,0.195,Monsoon Rain
RDD-IND-00118,NH-48 KM 214.2,28.8445,77.2078,0,Normal,0.926,0.211,0.771,0.205,0.133,Sunny Daylight
RDD-IND-00119,NH-66 KM 45.1,28.8457,77.2087,4,D40_Pothole,0.989,0.612,0.526,0.35,0.05,Night Sodium
RDD-IND-00120,Mumbai-Pune Exp KM 88.0,28.8469,77.2096,2,D10_Lateral,0.957,0.617,0.409,0.108,0.174,Overcast
RDD-IND-00121,NH-44 KM 108.4,28.8481,77.2105,4,D40_Pothole,0.981,0.503,0.345,0.135,0.09,Monsoon Rain
RDD-IND-00122,NH-48 KM 214.2,28.8493,77.2114,4,D40_Pothole,0.989,0.534,0.441,0.172,0.187,Sunny Daylight
RDD-IND-00123,NH-66 KM 45.1,28.8505,77.2123,1,D00_Longitudinal,0.938,0.31,0.702,0.255,0.207,Night Sodium
RDD-IND-00124,Mumbai-Pune Exp KM 88.0,28.8517,77.2132,0,Normal,0.92,0.696,0.658,0.228,0.157,Overcast
RDD-IND-00125,NH-44 KM 108.4,28.8529,77.2141,1,D00_Longitudinal,0.93,0.379,0.597,0.333,0.143,Monsoon Rain
RDD-IND-00126,NH-48 KM 214.2,28.8541,77.215,2,D10_Lateral,0.948,0.283,0.524,0.208,0.217,Sunny Daylight
RDD-IND-00127,NH-66 KM 45.1,28.8553,77.2159,4,D40_Pothole,0.982,0.521,0.394,0.257,0.226,Night Sodium
RDD-IND-00128,Mumbai-Pune Exp KM 88.0,28.8565,77.2168,4,D40_Pothole,0.986,0.407,0.589,0.146,0.235,Overcast
RDD-IND-00129,NH-44 KM 108.4,28.8577,77.2177,0,Normal,0.911,0.282,0.673,0.173,0.231,Monsoon Rain
RDD-IND-00130,NH-48 KM 214.2,28.8589,77.2186,2,D10_Lateral,0.955,0.651,0.463,0.167,0.163,Sunny Daylight
RDD-IND-00131,NH-66 KM 45.1,28.8601,77.2195,2,D10_Lateral,0.947,0.619,0.37,0.095,0.13,Night Sodium
RDD-IND-00132,Mumbai-Pune Exp KM 88.0,28.8613,77.2204,1,D00_Longitudinal,0.93,0.609,0.701,0.107,0.179,Overcast
RDD-IND-00133,NH-44 KM 108.4,28.8625,77.2213,0,Normal,0.921,0.65,0.629,0.091,0.053,Monsoon Rain
RDD-IND-00134,NH-48 KM 214.2,28.8637,77.2222,1,D00_Longitudinal,0.94,0.543,0.341,0.219,0.174,Sunny Daylight
RDD-IND-00135,NH-66 KM 45.1,28.8649,77.2231,4,D40_Pothole,0.993,0.469,0.565,0.347,0.208,Night Sodium
RDD-IND-00136,Mumbai-Pune Exp KM 88.0,28.8661,77.224,1,D00_Longitudinal,0.938,0.7,0.363,0.294,0.25,Overcast
RDD-IND-00137,NH-44 KM 108.4,28.8673,77.2249,2,D10_Lateral,0.956,0.633,0.776,0.332,0.12,Monsoon Rain
RDD-IND-00138,NH-48 KM 214.2,28.8685,77.2258,3,D20_Alligator,0.972,0.167,0.416,0.349,0.051,Sunny Daylight
RDD-IND-00139,NH-66 KM 45.1,28.8697,77.2267,1,D00_Longitudinal,0.942,0.429,0.709,0.3,0.067,Night Sodium
RDD-IND-00140,Mumbai-Pune Exp KM 88.0,28.8709,77.2276,4,D40_Pothole,0.996,0.116,0.483,0.092,0.23,Overcast
RDD-IND-00141,NH-44 KM 108.4,28.8721,77.2285,4,D40_Pothole,0.995,0.211,0.638,0.101,0.135,Monsoon Rain
RDD-IND-00142,NH-48 KM 214.2,28.8733,77.2294,1,D00_Longitudinal,0.932,0.443,0.377,0.31,0.116,Sunny Daylight
RDD-IND-00143,NH-66 KM 45.1,28.8745,77.2303,2,D10_Lateral,0.954,0.229,0.586,0.266,0.127,Night Sodium
RDD-IND-00144,Mumbai-Pune Exp KM 88.0,28.8757,77.2312,1,D00_Longitudinal,0.936,0.637,0.547,0.109,0.124,Overcast
RDD-IND-00145,NH-44 KM 108.4,28.8769,77.2321,1,D00_Longitudinal,0.935,0.194,0.581,0.145,0.06,Monsoon Rain
RDD-IND-00146,NH-48 KM 214.2,28.8781,77.233,0,Normal,0.913,0.601,0.686,0.213,0.173,Sunny Daylight
RDD-IND-00147,NH-66 KM 45.1,28.8793,77.2339,3,D20_Alligator,0.964,0.52,0.402,0.334,0.055,Night Sodium
RDD-IND-00148,Mumbai-Pune Exp KM 88.0,28.8805,77.2348,2,D10_Lateral,0.954,0.169,0.538,0.176,0.245,Overcast
RDD-IND-00149,NH-44 KM 108.4,28.8817,77.2357,0,Normal,0.915,0.542,0.725,0.107,0.101,Monsoon Rain
RDD-IND-00150,NH-48 KM 214.2,28.8829,77.2366,1,D00_Longitudinal,0.935,0.147,0.36,0.257,0.147,Sunny Daylight
RDD-IND-00151,NH-66 KM 45.1,28.8841,77.2375,4,D40_Pothole,0.99,0.133,0.397,0.322,0.19,Night Sodium
RDD-IND-00152,Mumbai-Pune Exp KM 88.0,28.8853,77.2384,1,D00_Longitudinal,0.931,0.155,0.597,0.328,0.24,Overcast
RDD-IND-00153,NH-44 KM 108.4,28.8865,77.2393,0,Normal,0.923,0.361,0.724,0.109,0.163,Monsoon Rain
RDD-IND-00154,NH-48 KM 214.2,28.8877,77.2402,2,D10_Lateral,0.953,0.277,0.617,0.274,0.165,Sunny Daylight
RDD-IND-00155,NH-66 KM 45.1,28.8889,77.2411,4,D40_Pothole,0.997,0.106,0.656,0.211,0.19,Night Sodium
RDD-IND-00156,Mumbai-Pune Exp KM 88.0,28.8901,77.242,1,D00_Longitudinal,0.931,0.286,0.62,0.262,0.217,Overcast
RDD-IND-00157,NH-44 KM 108.4,28.8913,77.2429,3,D20_Alligator,0.969,0.385,0.444,0.271,0.155,Monsoon Rain
RDD-IND-00158,NH-48 KM 214.2,28.8925,77.2438,4,D40_Pothole,0.977,0.406,0.382,0.117,0.142,Sunny Daylight
RDD-IND-00159,NH-66 KM 45.1,28.8937,77.2447,1,D00_Longitudinal,0.931,0.129,0.789,0.12,0.216,Night Sodium
RDD-IND-00160,Mumbai-Pune Exp KM 88.0,28.8949,77.2456,3,D20_Alligator,0.974,0.165,0.797,0.123,0.169,Overcast
RDD-IND-00161,NH-44 KM 108.4,28.8961,77.2465,1,D00_Longitudinal,0.942,0.204,0.627,0.132,0.133,Monsoon Rain
RDD-IND-00162,NH-48 KM 214.2,28.8973,77.2474,3,D20_Alligator,0.966,0.137,0.614,0.285,0.144,Sunny Daylight
RDD-IND-00163,NH-66 KM 45.1,28.8985,77.2483,3,D20_Alligator,0.966,0.542,0.63,0.29,0.065,Night Sodium
RDD-IND-00164,Mumbai-Pune Exp KM 88.0,28.8997,77.2492,2,D10_Lateral,0.957,0.403,0.735,0.341,0.177,Overcast
RDD-IND-00165,NH-44 KM 108.4,28.9009,77.2501,0,Normal,0.918,0.265,0.629,0.225,0.117,Monsoon Rain
RDD-IND-00166,NH-48 KM 214.2,28.9021,77.251,4,D40_Pothole,0.984,0.424,0.686,0.121,0.206,Sunny Daylight
RDD-IND-00167,NH-66 KM 45.1,28.9033,77.2519,1,D00_Longitudinal,0.938,0.275,0.575,0.185,0.063,Night Sodium
RDD-IND-00168,Mumbai-Pune Exp KM 88.0,28.9045,77.2528,0,Normal,0.926,0.639,0.762,0.094,0.051,Overcast
RDD-IND-00169,NH-44 KM 108.4,28.9057,77.2537,0,Normal,0.914,0.165,0.48,0.295,0.133,Monsoon Rain
RDD-IND-00170,NH-48 KM 214.2,28.9069,77.2546,3,D20_Alligator,0.962,0.491,0.463,0.237,0.135,Sunny Daylight
RDD-IND-00171,NH-66 KM 45.1,28.9081,77.2555,3,D20_Alligator,0.97,0.142,0.407,0.25,0.056,Night Sodium
RDD-IND-00172,Mumbai-Pune Exp KM 88.0,28.9093,77.2564,0,Normal,0.911,0.495,0.675,0.26,0.199,Overcast
RDD-IND-00173,NH-44 KM 108.4,28.9105,77.2573,2,D10_Lateral,0.955,0.566,0.719,0.118,0.113,Monsoon Rain
RDD-IND-00174,NH-48 KM 214.2,28.9117,77.2582,1,D00_Longitudinal,0.93,0.538,0.333,0.292,0.136,Sunny Daylight
RDD-IND-00175,NH-66 KM 45.1,28.9129,77.2591,3,D20_Alligator,0.967,0.329,0.59,0.278,0.171,Night Sodium
RDD-IND-00176,Mumbai-Pune Exp KM 88.0,28.9141,77.26,0,Normal,0.925,0.594,0.507,0.156,0.142,Overcast
RDD-IND-00177,NH-44 KM 108.4,28.9153,77.2609,3,D20_Alligator,0.971,0.261,0.533,0.317,0.054,Monsoon Rain
RDD-IND-00178,NH-48 KM 214.2,28.9165,77.2618,1,D00_Longitudinal,0.944,0.263,0.536,0.283,0.188,Sunny Daylight
RDD-IND-00179,NH-66 KM 45.1,28.9177,77.2627,4,D40_Pothole,0.992,0.279,0.428,0.295,0.194,Night Sodium
RDD-IND-00180,Mumbai-Pune Exp KM 88.0,28.9189,77.2636,0,Normal,0.922,0.412,0.389,0.199,0.221,Overcast
RDD-IND-00181,NH-44 KM 108.4,28.9201,77.2645,1,D00_Longitudinal,0.94,0.338,0.528,0.191,0.097,Monsoon Rain
RDD-IND-00182,NH-48 KM 214.2,28.9213,77.2654,0,Normal,0.92,0.677,0.603,0.304,0.153,Sunny Daylight
RDD-IND-00183,NH-66 KM 45.1,28.9225,77.2663,4,D40_Pothole,0.991,0.133,0.449,0.115,0.233,Night Sodium
RDD-IND-00184,Mumbai-Pune Exp KM 88.0,28.9237,77.2672,4,D40_Pothole,0.987,0.237,0.418,0.287,0.054,Overcast
RDD-IND-00185,NH-44 KM 108.4,28.9249,77.2681,1,D00_Longitudinal,0.933,0.596,0.658,0.327,0.065,Monsoon Rain
RDD-IND-00186,NH-48 KM 214.2,28.9261,77.269,3,D20_Alligator,0.968,0.662,0.541,0.197,0.163,Sunny Daylight
RDD-IND-00187,NH-66 KM 45.1,28.9273,77.2699,4,D40_Pothole,0.982,0.136,0.478,0.134,0.122,Night Sodium
RDD-IND-00188,Mumbai-Pune Exp KM 88.0,28.9285,77.2708,3,D20_Alligator,0.959,0.366,0.342,0.128,0.169,Overcast
RDD-IND-00189,NH-44 KM 108.4,28.9297,77.2717,2,D10_Lateral,0.957,0.346,0.715,0.134,0.194,Monsoon Rain
RDD-IND-00190,NH-48 KM 214.2,28.9309,77.2726,1,D00_Longitudinal,0.931,0.436,0.496,0.126,0.065,Sunny Daylight
RDD-IND-00191,NH-66 KM 45.1,28.9321,77.2735,0,Normal,0.918,0.609,0.582,0.236,0.137,Night Sodium
RDD-IND-00192,Mumbai-Pune Exp KM 88.0,28.9333,77.2744,4,D40_Pothole,0.989,0.207,0.432,0.113,0.103,Overcast
RDD-IND-00193,NH-44 KM 108.4,28.9345,77.2753,4,D40_Pothole,0.989,0.218,0.673,0.256,0.234,Monsoon Rain
RDD-IND-00194,NH-48 KM 214.2,28.9357,77.2762,3,D20_Alligator,0.966,0.683,0.394,0.304,0.089,Sunny Daylight
RDD-IND-00195,NH-66 KM 45.1,28.9369,77.2771,1,D00_Longitudinal,0.94,0.49,0.719,0.277,0.156,Night Sodium
RDD-IND-00196,Mumbai-Pune Exp KM 88.0,28.9381,77.278,1,D00_Longitudinal,0.941,0.616,0.349,0.233,0.172,Overcast
