trajectory_id,initial_pci,cbr_subgrade_pct,rainfall_mm,day_30_pci,day_60_pci,day_90_pci,day_180_pci,requires_immediate_patch
TRAJ-MONSOON-0068,1.3,5.7,1251.4,1.3,1.3,1.4,1.3,YES
TRAJ-MONSOON-0069,1.9,6.0,7337.9,2.0,2.1,2.2,2.8,YES
TRAJ-MONSOON-0070,2.1,3.7,12031.4,2.2,2.3,2.5,3.2,YES
TRAJ-MONSOON-0071,1.0,7.4,6190.5,1.0,1.1,1.2,1.5,YES
TRAJ-MONSOON-0072,1.4,4.2,13543.8,1.4,1.6,1.7,2.5,YES
TRAJ-MONSOON-0073,0.5,7.0,9491.1,0.5,0.6,0.6,0.9,YES
TRAJ-MONSOON-0074,1.9,3.2,8763.4,2.1,2.2,2.5,3.4,YES
TRAJ-MONSOON-0075,2.0,3.7,3824.1,2.1,2.2,2.2,2.7,YES
TRAJ-MONSOON-0076,1.0,3.9,13672.5,1.1,1.2,1.3,1.8,YES
TRAJ-MONSOON-0077,1.4,6.1,762.6,1.4,1.4,1.4,1.5,YES
TRAJ-MONSOON-0078,0.6,5.9,9297.4,0.6,0.6,0.7,0.9,YES
TRAJ-MONSOON-0079,1.6,5.0,1294.0,1.6,1.5,1.6,1.7,YES
TRAJ-MONSOON-0080,1.0,6.7,7057.2,1.0,1.1,1.1,1.3,YES
TRAJ-MONSOON-0081,2.3,4.8,8918.5,2.3,2.5,2.6,3.3,YES
TRAJ-MONSOON-0082,2.5,5.5,9133.1,2.6,2.7,2.8,3.4,YES
TRAJ-MONSOON-0083,0.3,5.4,8690.2,0.3,0.3,0.3,0.4,YES
TRAJ-MONSOON-0084,1.5,3.8,3138.0,1.5,1.6,1.6,2.0,YES
TRAJ-MONSOON-0085,0.3,3.8,10881.6,0.3,0.3,0.3,0.4,YES
TRAJ-MONSOON-0086,0.6,6.3,3953.7,0.6,0.6,0.6,0.7,YES
TRAJ-MONSOON-0087,1.7,4.0,4750.6,1.7,1.9,1.9,2.2,YES
TRAJ-MONSOON-0088,1.1,6.0,4386.9,1.1,1.2,1.2,1.4,YES
TRAJ-MONSOON-0089,2.0,3.7,13092.8,2.1,2.4,2.8,4.0,YES
TRAJ-MONSOON-0090,0.8,3.7,12606.5,0.9,1.0,1.1,1.7,YES
TRAJ-MONSOON-0091,0.8,5.8,9945.6,0.9,1.0,1.0,1.4,YES
TRAJ-MONSOON-0092,2.3,5.1,6055.5,2.4,2.4,2.6,2.9,YES
TRAJ-MONSOON-0093,0.8,4.9,4686.1,0.8,0.8,0.9,1.0,YES
TRAJ-MONSOON-0094,2.4,6.7,3616.6,2.3,2.4,2.6,2.6,YES
TRAJ-MONSOON-0095,1.0,6.9,2045.7,1.0,1.0,1.0,1.0,YES
TRAJ-MONSOON-0096,2.1,7.0,10573.1,2.1,2.3,2.5,3.3,YES
TRAJ-MONSOON-0097,0.6,5.7,13157.7,0.7,0.8,0.9,1.4,YES
TRAJ-MONSOON-0098,1.3,4.1,14821.2,1.4,1.6,1.8,2.5,YES
TRAJ-MONSOON-0099,2.3,3.2,10612.6,2.5,2.6,2.8,3.9,YES
TRAJ-MONSOON-0100,2.1,3.2,9145.9,2.2,2.2,2.4,2.8,YES
TRAJ-MONSOON-0101,0.4,4.6,8322.6,0.4,0.4,0.4,0.6,YES
TRAJ-MONSOON-0102,0.3,7.4,808.4,0.3,0.3,0.3,0.3,YES
TRAJ-MONSOON-0103,2.2,7.9,11640.0,2.3,2.5,2.7,3.6,YES
TRAJ-MONSOON-0104,0.9,4.5,3887.3,0.9,0.9,0.9,0.9,YES
TRAJ-MONSOON-0105,0.7,7.7,11902.0,0.8,0.7,0.8,1.0,YES
TRAJ-MONSOON-0106,1.4,4.2,3059.7,1.4,1.4,1.5,1.5,YES
TRAJ-MONSOON-0107,1.8,3.8,12329.6,2.0,2.0,2.1,2.7,YES
TRAJ-MONSOON-0108,2.2,4.3,2378.0,2.3,2.3,2.5,2.9,YES
TRAJ-MONSOON-0109,0.4,5.0,5904.0,0.4,0.4,0.5,0.5,YES
TRAJ-MONSOON-0110,0.4,7.3,7679.6,0.4,0.4,0.4,0.6,YES
TRAJ-MONSOON-0111,0.8,7.4,12062.7,0.9,1.0,1.1,1.7,YES
TRAJ-MONSOON-0112,1.8,6.1,11414.4,1.8,2.0,2.2,2.8,YES
TRAJ-MONSOON-0113,0.6,7.1,12565.9,0.6,0.6,0.7,0.9,YES
TRAJ-MONSOON-0114,0.8,6.2,8329.8,0.8,0.9,0.9,1.2,YES
TRAJ-MONSOON-0115,1.7,7.7,1986.4,1.7,1.7,1.8,2.0,YES
TRAJ-MONSOON-0116,1.5,4.7,9503.3,1.6,1.7,1.8,2.2,YES
TRAJ-MONSOON-0117,1.8,5.2,4467.6,1.8,1.9,2.1,2.5,YES
TRAJ-MONSOON-0118,0.7,3.4,10367.2,0.8,0.8,0.9,1.1,YES
TRAJ-MONSOON-0119,1.1,4.4,14767.7,1.2,1.3,1.5,2.3,YES
TRAJ-MONSOON-0120,1.0,7.3,7361.5,1.1,1.2,1.3,1.6,YES
TRAJ-MONSOON-0121,2.0,6.1,2403.1,2.0,2.0,2.0,2.2,YES
TRAJ-MONSOON-0122,0.5,6.4,6739.4,0.5,0.5,0.6,0.6,YES
TRAJ-MONSOON-0123,0.9,5.3,668.5,1.0,0.9,0.9,0.9,YES
TRAJ-MONSOON-0124,2.2,6.9,1074.5,2.2,2.1,2.3,2.3,YES
TRAJ-MONSOON-0125,1.5,3.0,5233.7,1.5,1.6,1.6,1.8,YES
TRAJ-MONSOON-0126,0.5,5.8,10497.2,0.5,0.6,0.6,0.8,YES
TRAJ-MONSOON-0127,1.8,7.4,10854.3,1.9,2.1,2.3,3.4,YES
TRAJ-MONSOON-0128,1.7,5.6,11108.0,1.7,1.8,1.9,2.2,YES
TRAJ-MONSOON-0129,2.4,4.7,3140.7,2.6,2.6,2.6,3.2,YES
TRAJ-MONSOON-0130,2.5,7.9,9929.7,2.6,2.6,3.0,3.8,YES
TRAJ-MONSOON-0131,1.9,5.1,5516.1,1.9,2.1,2.2,2.7,YES
TRAJ-MONSOON-0132,2.2,7.5,6615.0,2.3,2.4,2.5,3.0,YES
TRAJ-MONSOON-0133,1.8,7.5,3105.4,1.9,1.9,1.9,2.2,YES
TRAJ-MONSOON-0134,2.2,5.2,7964.9,2.3,2.3,2.5,3.3,YES
TRAJ-MONSOON-0135,2.0,3.7,14562.4,2.0,2.3,2.5,3.5,YES
TRAJ-MONSOON-0136,0.8,6.1,10748.3,0.8,0.9,0.9,1.1,YES
TRAJ-MONSOON-0137,1.5,7.3,3484.7,1.6,1.6,1.6,1.7,YES
TRAJ-MONSOON-0138,2.3,4.6,7854.9,2.4,2.5,2.6,2.7,YES
TRAJ-MONSOON-0139,1.3,6.3,2524.9,1.3,1.4,1.4,1.4,YES
TRAJ-MONSOON-0140,1.2,7.3,3068.7,1.2,1.3,1.4,1.6,YES
TRAJ-MONSOON-0141,2.2,5.9,940.6,2.2,2.3,2.2,2.5,YES
TRAJ-MONSOON-0142,1.7,3.5,10038.8,1.8,1.9,2.1,2.9,YES
TRAJ-MONSOON-0143,1.5,6.7,13238.5,1.6,1.7,1.9,2.6,YES
TRAJ-MONSOON-0144,1.2,7.1,2243.0,1.2,1.2,1.3,1.3,YES
TRAJ-MONSOON-0145,1.1,5.2,3944.4,1.1,1.1,1.2,1.3,YES
TRAJ-MONSOON-0146,1.3,4.9,13018.3,1.3,1.4,1.7,2.4,YES
TRAJ-MONSOON-0147,1.6,6.8,12288.3,1.7,2.0,2.3,3.5,YES
TRAJ-MONSOON-0148,0.4,5.4,4223.3,0.4,0.5,0.5,0.5,YES
TRAJ-MONSOON-0149,1.8,4.4,6496.5,1.8,1.9,2.1,2.3,YES
TRAJ-MONSOON-0150,0.4,5.8,4220.2,0.5,0.5,0.5,0.6,YES
TRAJ-MONSOON-0151,2.4,6.0,12378.2,2.6,2.7,3.2,4.5,YES
TRAJ-MONSOON-0152,2.3,4.8,3934.6,2.3,2.4,2.5,2.9,YES
TRAJ-MONSOON-0153,1.6,5.3,9005.8,1.7,1.8,1.9,2.4,YES
TRAJ-MONSOON-0154,1.5,4.2,6168.1,1.5,1.6,1.7,2.0,YES
TRAJ-MONSOON-0155,1.8,8.0,2361.7,1.7,1.8,1.8,2.0,YES
TRAJ-MONSOON-0156,1.0,3.3,8026.4,1.0,1.1,1.2,1.4,YES
TRAJ-MONSOON-0157,1.4,4.6,5328.5,1.5,1.6,1.7,2.2,YES
TRAJ-MONSOON-0158,0.3,5.8,14385.6,0.4,0.4,0.4,0.6,YES
TRAJ-MONSOON-0159,1.9,4.7,10141.2,2.1,2.2,2.7,4.0,YES
TRAJ-MONSOON-0160,2.1,5.6,9542.0,2.2,2.3,2.5,3.1,YES
TRAJ-MONSOON-0161,0.3,4.5,4315.1,0.3,0.3,0.3,0.3,YES
TRAJ-MONSOON-0162,1.2,6.0,7977.4,1.3,1.4,1.6,2.1,YES
TRAJ-MONSOON-0163,2.2,7.0,11955.4,2.2,2.4,2.5,3.3,YES
TRAJ-MONSOON-0164,2.4,6.2,12426.0,2.6,2.8,3.1,4.0,YES
TRAJ-MONSOON-0165,0.6,5.5,6280.6,0.6,0.6,0.6,0.7,YES
TRAJ-MONSOON-0166,1.4,5.2,2032.1,1.4,1.4,1.4,1.6,YES
TRAJ-MONSOON-0167,0.3,8.0,1337.8,0.3,0.3,0.3,0.4,YES
TRAJ-MONSOON-0168,0.4,6.5,1403.2,0.4,0.5,0.5,0.5,YES
TRAJ-MONSOON-0169,1.4,5.1,2395.3,1.4,1.4,1.6,1.7,YES
TRAJ-MONSOON-0170,1.9,6.8,660.0,1.9,1.9,1.9,2.0,YES
TRAJ-MONSOON-0171,0.2,4.2,14650.2,0.2,0.3,0.3,0.6,YES
TRAJ-MONSOON-0172,2.1,3.5,7579.5,2.2,2.3,2.3,2.7,YES
TRAJ-MONSOON-0173,1.3,6.9,13435.2,1.4,1.6,1.8,3.0,YES
TRAJ-MONSOON-0174,2.1,3.2,13575.5,2.3,2.5,2.9,4.1,YES
TRAJ-MONSOON-0175,0.4,5.6,2677.5,0.4,0.4,0.4,0.4,YES
TRAJ-MONSOON-0176,0.4,3.4,675.6,0.4,0.4,0.4,0.4,YES
TRAJ-MONSOON-0177,1.7,3.9,3024.6,1.7,1.8,1.8,2.0,YES
TRAJ-MONSOON-0178,1.1,4.0,2260.1,1.1,1.2,1.1,1.3,YES
TRAJ-MONSOON-0179,2.5,6.0,8945.1,2.6,2.9,3.2,4.4,YES
TRAJ-MONSOON-0180,0.7,4.9,6765.1,0.7,0.8,0.8,1.0,YES
TRAJ-MONSOON-0181,0.9,7.1,12989.9,1.0,1.1,1.3,2.0,YES
TRAJ-MONSOON-0182,1.9,6.9,10014.3,2.0,2.0,2.2,2.7,YES
TRAJ-MONSOON-0183,1.4,7.2,11125.6,1.4,1.6,1.8,2.4,YES
TRAJ-MONSOON-0184,2.2,6.2,11536.3,2.3,2.4,2.6,3.3,YES
TRAJ-MONSOON-0185,1.5,6.7,9431.8,1.5,1.6,1.6,2.0,YES
TRAJ-MONSOON-0186,0.5,4.5,13211.4,0.6,0.7,0.8,1.2,YES
TRAJ-MONSOON-0187,1.1,5.1,10586.5,1.2,1.2,1.3,1.5,YES
TRAJ-MONSOON-0188,1.3,6.2,1440.4,1.4,1.4,1.4,1.5,YES
TRAJ-MONSOON-0189,0.8,7.1,7724.7,0.9,0.8,0.9,1.0,YES
TRAJ-MONSOON-0190,1.4,5.2,2638.1,1.4,1.4,1.5,1.6,YES
TRAJ-MONSOON-0191,2.5,7.7,9817.2,2.6,2.8,3.1,4.0,YES
TRAJ-MONSOON-0192,1.1,5.9,9022.7,1.1,1.1,1.2,1.5,YES
TRAJ-MONSOON-0193,0.8,5.1,13154.6,0.8,1.0,1.0,1.5,YES
TRAJ-MONSOON-0194,0.4,6.6,7698.7,0.4,0.4,0.4,0.6,YES
TRAJ-MONSOON-0195,1.9,6.3,14370.9,1.9,2.0,2.2,2.7,YES
TRAJ-MONSOON-0196,0.8,4.4,11511.3,0.8,0.9,1.0,1.4,YES
TRAJ-MONSOON-0197,1.0,7.5,816.4,1.0,1.0,1.0,1.1,YES
TRAJ-MONSOON-0198,0.8,6.7,14728.8,0.9,0.9,1.0,1.4,YES
TRAJ-MONSOON-0199,1.6,4.7,2154.4,1.6,1.6,1.7,1.8,YES
TRAJ-MONSOON-0200,0.5,7.3,10980.8,0.5,0.5,0.5,0.6,YES
TRAJ-MONSOON-0201,0.6,7.7,12824.6,0.6,0.7,0.8,1.1,YES
TRAJ-MONSOON-0202,1.4,7.0,7159.0,1.4,1.4,1.5,1.8,YES
TRAJ-MONSOON-0203,1.9,5.6,3470.8,2.0,2.1,2.2,2.6,YES
TRAJ-MONSOON-0204,2.0,3.1,1445.5,2.0,2.1,2.1,2.2,YES
TRAJ-MONSOON-0205,2.1,4.9,11746.4,2.1,2.4,2.8,4.0,YES
TRAJ-MONSOON-0206,1.7,7.0,6241.6,1.7,1.8,2.0,2.6,YES
TRAJ-MONSOON-0207,2.2,7.5,4515.1,2.2,2.3,2.4,2.9,YES
TRAJ-MONSOON-0208,0.5,5.2,9421.8,0.6,0.6,0.6,0.8,YES
TRAJ-MONSOON-0209,2.5,6.3,9702.7,2.5,2.7,2.9,3.7,YES
TRAJ-MONSOON-0210,1.4,6.6,13408.7,1.5,1.6,1.7,2.3,YES
TRAJ-MONSOON-0211,1.8,4.6,7331.9,1.9,1.9,2.2,3.0,YES
TRAJ-MONSOON-0212,0.6,6.6,12476.7,0.6,0.6,0.7,0.8,YES
TRAJ-MONSOON-0213,1.7,6.1,5609.4,1.8,1.8,2.0,2.4,YES
TRAJ-MONSOON-0214,0.9,6.4,1509.8,1.0,1.0,1.0,1.0,YES
TRAJ-MONSOON-0215,1.8,5.6,4927.0,1.9,1.8,1.9,2.1,YES
TRAJ-MONSOON-0216,1.7,4.3,13654.3,1.9,2.0,2.4,3.5,YES
TRAJ-MONSOON-0217,1.5,4.9,14663.6,1.5,1.6,1.7,2.3,YES
TRAJ-MONSOON-0218,2.3,6.8,12171.1,2.3,2.6,2.7,3.6,YES
TRAJ-MONSOON-0219,2.2,3.6,10703.4,2.2,2.4,2.6,3.4,YES
TRAJ-MONSOON-0220,0.9,6.7,1198.1,0.9,0.9,0.9,1.0,YES
TRAJ-MONSOON-0221,2.0,3.2,8950.7,2.1,2.4,2.8,4.1,YES
TRAJ-MONSOON-0222,0.5,3.5,13689.6,0.5,0.6,0.6,1.0,YES
TRAJ-MONSOON-0223,0.9,5.2,11721.3,1.0,1.1,1.3,1.9,YES
TRAJ-MONSOON-0224,1.8,4.2,7929.3,1.9,1.9,2.0,2.4,YES
TRAJ-MONSOON-0225,1.9,5.5,9694.5,1.9,1.9,2.1,2.4,YES
TRAJ-MONSOON-0226,0.7,6.1,4569.9,0.7,0.7,0.7,0.8,YES
TRAJ-MONSOON-0227,1.4,4.5,14010.4,1.4,1.5,1.7,2.1,YES
TRAJ-MONSOON-0228,2.2,5.5,10682.8,2.3,2.5,2.7,3.8,YES
TRAJ-MONSOON-0229,2.3,6.6,9314.6,2.4,2.5,2.7,3.6,YES
TRAJ-MONSOON-0230,1.1,5.3,5851.3,1.1,1.1,1.2,1.3,YES
TRAJ-MONSOON-0231,2.4,6.3,10340.7,2.5,2.7,2.9,3.8,YES
TRAJ-MONSOON-0232,0.5,7.5,1463.4,0.5,0.5,0.5,0.5,YES
TRAJ-MONSOON-0233,1.5,3.2,2283.5,1.6,1.6,1.6,1.8,YES
TRAJ-MONSOON-0234,1.2,6.4,4493.0,1.2,1.2,1.3,1.5,YES
TRAJ-MONSOON-0235,2.3,5.2,5123.6,2.4,2.5,2.5,3.1,YES
TRAJ-MONSOON-0236,0.6,5.2,2567.6,0.6,0.6,0.6,0.7,YES
TRAJ-MONSOON-0237,1.1,4.6,10318.2,1.2,1.3,1.4,1.8,YES
TRAJ-MONSOON-0238,0.3,5.5,14478.3,0.3,0.3,0.3,0.4,YES
TRAJ-MONSOON-0239,0.9,7.5,2184.0,0.9,0.9,0.9,1.0,YES
TRAJ-MONSOON-0240,1.0,5.7,2735.1,1.0,1.0,1.0,1.2,YES
TRAJ-MONSOON-0241,0.8,4.0,1335.9,0.8,0.8,0.8,0.8,YES
TRAJ-MONSOON-0242,0.5,5.2,9580.4,0.6,0.6,0.6,0.8,YES
TRAJ-MONSOON-0243,1.1,3.2,7395.4,1.1,1.2,1.3,1.6,YES
TRAJ-MONSOON-0244,2.0,4.4,13217.8,2.2,2.4,2.8,3.9,YES
TRAJ-MONSOON-0245,1.6,4.9,4643.9,1.6,1.5,1.8,1.9,YES
TRAJ-MONSOON-0246,2.2,7.9,6410.0,2.3,2.4,2.7,3.5,YES
TRAJ-MONSOON-0247,2.2,5.2,12781.0,2.3,2.5,2.9,3.9,YES
TRAJ-MONSOON-0248,2.3,3.1,7414.2,2.4,2.6,2.8,3.7,YES
TRAJ-MONSOON-0249,2.1,4.4,3555.2,2.1,2.2,2.2,2.6,YES
TRAJ-MONSOON-0250,0.5,6.8,11649.4,0.6,0.6,0.7,1.0,YES
